Rank,Species (50 CFR Part 17),Stat- us,"SpeciesTotal","CumulativeTotal","CumulativePercent"
611,"Thornmint, San Diego (Acanthomintha ilicifolia)",T,"12,400","645,778,653",99.72
613,"Pocketbook, speckled (Lampsilis streckeri)",E,"12,200","645,790,853",99.72
614,"Minnow, Devils River (Dionda diaboli)",T,"12,160","645,803,013",99.73
615,"Woodrat, Key Largo (Neotoma floridana smalli)",E,"12,100","645,815,113",99.73
615,"Mint, scrub (Dicerandra frutescens)",E,"12,100","645,827,213",99.73
615,"Mint, Lakela's (Dicerandra immaculata)",E,"12,100","645,839,313",99.73
615,"Manzanita, Morro (Arctostaphylos morroensis)",T,"12,100","645,851,413",99.73
619,"Whale, Sei (Balaenoptera borealis)",E,"12,000","645,863,413",99.73
619,"Bird's beak, palmate-bracted (Cordylanthus palmatus)",E,"12,000","645,875,413",99.74
619,"Mesa-mint, Otay (Pogogyne nudiuscula)",E,"12,000","645,887,413",99.74
619,"Milk-vetch, Holmgren (Astragalus holmgreniorum)",E,"12,000","645,899,413",99.74
619,"Iagu, Hayun (=(Guam), Tronkon guafi (Rota)) (Serianthes nelsonii)",E,"12,000","645,911,413",99.74
624,"Rabbitsfoot, rough (Quadrula cylindrica strigillata)",E,"11,800","645,923,213",99.74
625,"Sand-verbena, large-fruited (Abronia macrocarpa)",E,"11,200","645,934,413",99.75
626,"Geranium, Hawaiian red-flowered (Geranium arboreum)",E,"10,881","645,945,294",99.75
627,"Mountain balm, Indian Knob (Eriodictyon altissimum)",E,"10,600","645,955,894",99.75
628,"Darter, Etowah (Etheostoma etowahae)",E,"10,500","645,966,394",99.75
628,"Pentachaeta, Lyon's (Pentachaeta lyonii)",E,"10,500","645,976,894",99.75
630,"Fatmucket, Arkansas (Lampsilis powelli)",T,"10,400","645,987,294",99.75
631,"Milk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",E,"10,300","645,997,594",99.76
631,"Cactus, Siler pincushion (Pediocactus (=Echinocactus,=Utahia) sileri)",E,"10,300","646,007,894",99.76
631,"Sandwort, Cumberland (Arenaria cumberlandensis)",E,"10,300","646,018,194",99.76
634,"Elktoe, Cumberland (Alasmidonta atropurpurea)",E,"10,266","646,028,460",99.76
635,"Skullcap, Florida (Scutellaria floridana)",T,"10,100","646,038,560",99.76
635,"Mint, longspurred (Dicerandra cornutissima)",E,"10,100","646,048,660",99.76
637,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)",E,"10,000","646,058,660",99.77
637,"Boa, Mona (Epicrates monensis monensis)",T,"10,000","646,068,660",99.77
637,"Salamander, Cheat Mountain (Plethodon nettingi)",T,"10,000","646,078,660",99.77
637,"Pupfish, Warm Springs (Cyprinodon nevadensis pectoralis)",E,"10,000","646,088,660",99.77
637,"Silverside, Waccamaw (Menidia extensa)",T,"10,000","646,098,660",99.77
637,"Riversnail, Anthony's (Athearnia anthonyi)",E,"10,000","646,108,660",99.77
637,"Beetle, Helotes mold (Batrisodes venyivi)",E,"10,000","646,118,660",99.77
637,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)","E,Em E","10,000","646,128,660",99.78
637,"Meshweaver, Braken Bat Cave (Cicurina venii)",E,"10,000","646,138,660",99.78
637,"Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",E,"10,000","646,148,660",99.78
637,"Sunflower, Pecos (=puzzle, =paradox) (Helianthus paradoxus)",T,"10,000","646,158,660",99.78
637,"Sunburst, San Joaquin adobe (Pseudobahia peirsonii)",T,"10,000","646,168,660",99.78
637,"Spineflower, Sonoma (Chorizanthe valida)",E,"10,000","646,178,660",99.78
637,"Blue-star, Kearney's (Amsonia kearneyana)",E,"10,000","646,188,660",99.79
637,"Mallow, Kern (Eremalche kernensis)",E,"10,000","646,198,660",99.79
637,"Woolly-star, Hoover's (Eriastrum hooveri)",T,"10,000","646,208,660",99.79
653,"Salamander, San Marcos (Eurycea nana)",T,"9,800","646,218,460",99.79
653,"Blossom, green (pearlymussel) (Epioblasma torulosa gubernaculum)",E,"9,800","646,228,260",99.79
655,"Rosemary, Cumberland (Conradina verticillata)",T,"9,700","646,237,960",99.79
656,"Grass, Tennessee yellow-eyed (Xyris tennesseensis)",E,"9,400","646,247,360",99.79
656,"Tarplant, Gaviota (Hemizonia increscens ssp. villosa)",E,"9,400","646,256,760",99.8
658,"Mouse, St. Andrew beach (Peromyscus polionotus peninsularis)",E,"9,305","646,266,065",99.8
659,"Manzanita, Presidio (Arctostaphylos hookeri var. ravenii)",E,"9,300","646,275,365",99.8
660,Alani (Melicope adscendens),E,"9,250","646,284,615",99.8
661,Haha (Cyanea shipmannii),E,"9,200","646,293,815",99.8
662,"Milk-vetch, Jesup's (Astragalus robbinsii var. jesupi)",E,"9,100","646,302,915",99.8
662,"Meadowrue, Cooley's (Thalictrum cooleyi)",E,"9,100","646,312,015",99.8
664,Alani (Melicope knudsenii),E,"9,050","646,321,065",99.81
664,"Sandalwood, Lanai (=`iliahi) (Santalum freycinetianum var. lanaiense)",E,"9,050","646,330,115",99.81
666,"Blossom, turgid (pearlymussel) (Epioblasma turgidula)",E,"9,000","646,339,115",99.81
666,"Blossom, yellow (pearlymussel) (Epioblasma florentina florentina)",E,"9,000","646,348,115",99.81
666,"Crayfish, Nashville (Orconectes shoupi)",E,"9,000","646,357,115",99.81
666,"Wild-buckwheat, southern mountain (Eriogonum kennedyi var.austromontanum)",T,"9,000","646,366,115",99.81
666,"Bluegrass, San Bernardino (Poa atropurpurea)",E,"9,000","646,375,115",99.81
666,"Fern, American hart's-tongue (Asplenium scolopendrium var. americanum)",T,"9,000","646,384,115",99.82
672,"Gambusia, Big Bend (Gambusia gaigei)",E,"8,900","646,393,015",99.82
672,`Oha wai (Clermontia lindseyana),E,"8,900","646,401,915",99.82
674,`O`u (honeycreeper) (Psittirostra psittacea),E,"8,800","646,410,715",99.82
674,"Creeper, Oahu (Paroreomyza maculata)",E,"8,800","646,419,515",99.82
674,"Amphianthus, little (Amphianthus pusillus)",T,"8,800","646,428,315",99.82
674,"Cactus, Lee pincushion (Coryphantha sneedii var. leei)",T,"8,800","646,437,115",99.82
674,"Bladderpod, kodachrome (Lesquerella tumulosa)",E,"8,800","646,445,915",99.82
674,Alani (Melicope lydgatei),E,"8,800","646,454,715",99.83
680,Kauila (Colubrina oppositifolia),E,"8,700","646,463,415",99.83
681,"Rock-cress, Braun's (Arabis perstellata)",E,"8,600","646,472,015",99.83
682,Ha`iwale (Cyrtandra viridiflora),E,"8,400","646,480,415",99.83
683,Haha (Cyanea humboldtiana),E,"8,300","646,488,715",99.83
683,Haha (Cyanea st-johnii),E,"8,300","646,497,015",99.83
683,Viola oahuensis (=Sci name),E,"8,300","646,505,315",99.83
683,Kolea (Myrsine juddii),E,"8,300","646,513,615",99.84
683,`Akoko (Chamaesyce rockii),E,"8,300","646,521,915",99.84
688,"Campion, fringed (Silene polypetala)",E,"8,100","646,530,015",99.84
688,"Milk-vetch, triple-ribbed (Astragalus tricarinatus)",E,"8,100","646,538,115",99.84
690,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"8,085","646,546,200",99.84
691,"Bat, little Mariana fruit (Pteropus tokudae)",E,"8,000","646,554,200",99.84
691,"Vole, Amargosa (Microtus californicus scirpensis)",E,"8,000","646,562,200",99.84
691,"Paintbrush, soft-leaved (Castilleja mollis)",E,"8,000","646,570,200",99.84
691,Cyanea (=Rollandia) crispa (=Sci name),E,"8,000","646,578,200",99.85
691,"Cactus, Kuenzler hedgehog (Echinocereus fendleri var. kuenzleri)",E,"8,000","646,586,200",99.85
691,"Grass, Solano (Tuctoria mucronata)",E,"8,000","646,594,200",99.85
691,"Goetzea, beautiful (Goetzea elegans)",E,"8,000","646,602,200",99.85
691,"Trillium, relict (Trillium reliquum)",E,"8,000","646,610,200",99.85
699,"Beaked-rush, Knieskern's (Rhynchospora knieskernii)",T,"7,550","646,617,750",99.85
700,"Seal, Caribbean monk (Monachus tropicalis)",E,"7,500","646,625,250",99.85
700,"Poolfish, Pahrump (Empetrichthys latos)",E,"7,500","646,632,750",99.85
700,"Schiedea, Diamond Head (Schiedea adamantis)",E,"7,500","646,640,250",99.85
703,"Darter, relict (Etheostoma chienense)",E,"7,300","646,647,550",99.86
704,"Ambrosia, south Texas (Ambrosia cheiranthifolia)",E,"7,250","646,654,800",99.86
704,"Rush-pea, slender (Hoffmannseggia tenella)",E,"7,250","646,662,050",99.86
706,"Lousewort, Furbish (Pedicularis furbishiae)",E,"7,100","646,669,150",99.86
707,Alsinidendron trinerve (=Sci name),E,"7,038","646,676,188",99.86
708,"Clubshell, black (Pleurobema curtum)",E,"7,000","646,683,188",99.86
708,"Snail, flat-spired three-toothed (Triodopsis platysayoides)",T,"7,000","646,690,188",99.86
708,"Pitcher-plant, mountain sweet (Sarracenia rubra ssp. jonesii)",E,"7,000","646,697,188",99.86
711,Aupaka (Isodendrion longifolium),T,"6,800","646,703,988",99.86
712,`Oha wai (Clermontia samuelii),E,"6,750","646,710,738",99.87
713,Kamakahala (Labordia cyrtandrae),E,"6,738","646,717,476",99.87
714,Lobelia gaudichaudii ssp. koolauensis (=Sci name),E,"6,638","646,724,114",99.87
714,Ha`iwale (Cyrtandra subumbellata),E,"6,638","646,730,752",99.87
716,"Goldenrod, white-haired (Solidago albopilosa)",T,"6,500","646,737,252",99.87
716,"Iris, dwarf lake (Iris lacustris)",T,"6,500","646,743,752",99.87
718,"Heartleaf, dwarf-flowered (Hexastylis naniflora)",T,"6,416","646,750,168",99.87
719,`Oha wai (Clermontia pyrularia),E,"6,400","646,756,568",99.87
720,"Cactus, black lace (Echinocereus reichenbachii var. albertii)",E,"6,350","646,762,918",99.87
721,Phyllostegia mollis (=Sci name),E,"6,338","646,769,256",99.87
722,"Shiner, palezone (Notropis albizonatus)",E,"6,300","646,775,556",99.88
722,"Cycladenia, Jones (Cycladenia jonesii (=humilis))",T,"6,300","646,781,856",99.88
724,Lobelia oahuensis (=Sci name),E,"6,200","646,788,056",99.88
725,"Cliff-rose, Arizona (Purshia (=Cowania) subintegra)",E,"6,100","646,794,156",99.88
726,"Nightjar, Puerto Rican (Caprimulgus noctitherus)",E,"6,000","646,800,156",99.88
726,"Pupfish, Leon Springs (Cyprinodon bovinus)",E,"6,000","646,806,156",99.88
726,"Darter, bluemask (=jewel) (Etheostoma /)",E,"6,000","646,812,156",99.88
726,"Pigtoe, Cumberland (Pleurobema gibberum)",E,"6,000","646,818,156",99.88
726,"Snail, painted snake coiled forest (Anguispira picta)",T,"6,000","646,824,156",99.88
726,"Grass, Colusa (Neostapfia colusana)",T,"6,000","646,830,156",99.88
726,"Boxwood, Vahl's (Buxus vahlii)",E,"6,000","646,836,156",99.89
726,"Thistle, Sacramento Mountains (Cirsium vinaceum)",T,"6,000","646,842,156",99.89
726,Palo de nigua (Cornutia obovata),E,"6,000","646,848,156",99.89
726,"Mallow, Peter's Mountain (Iliamna corei)",E,"6,000","646,854,156",99.89
726,Palo de rosa (Ottoschulzia rhodoxylon),E,"6,000","646,860,156",99.89
726,Cobana negra (Stahlia monosperma),T,"6,000","646,866,156",99.89
726,Schoepfia arenaria (=Sci name),T,"6,000","646,872,156",99.89
726,"Ladies'-tresses, Canelo Hills (Spiranthes delitescens)",E,"6,000","646,878,156",99.89
740,"Monkshood, northern wild (Aconitum noveboracense)",T,"5,600","646,883,756",99.89
741,"Arrowhead, bunched (Sagittaria fasciculata)",E,"5,500","646,889,256",99.89
741,Opuhe (Urera kaalae),E,"5,500","646,894,756",99.89
741,"Cactus, Bakersfield (Opuntia treleasei)",E,"5,500","646,900,256",99.9
744,Palo de jazmin (Styrax portoricensis),E,"5,400","646,905,656",99.9
745,"Bladderpod, Dudley Bluffs (Lesquerella congesta)",T,"5,300","646,910,956",99.9
746,"Springfish, Hiko White River (Crenichthys baileyi grandis)",E,"5,200","646,916,156",99.9
746,"Cactus, star (Astrophytum asterias)",E,"5,200","646,921,356",99.9
746,"Clarkia, Presidio (Clarkia franciscana)",E,"5,200","646,926,556",99.9
746,"Ayenia, Texas (Ayenia limitaris)",E,"5,200","646,931,756",99.9
750,"Butterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",E,"5,142","646,936,898",99.9
751,"Vole, Florida salt marsh (Microtus pennsylvanicus dukecampbelli)",E,"5,100","646,941,998",99.9
751,"Manioc, Walker's (Manihot walkerae)",E,"5,100","646,947,098",99.9
751,`Ahinahina (Argyroxiphium sandwicense ssp. sandwicense),E,"5,100","646,952,198",99.9
751,"Walnut, West Indian or nogal (Juglans jamaicensis)",E,"5,100","646,957,298",99.9
751,Kuahiwi laukahi (Plantago hawaiensis),E,"5,100","646,962,398",99.9
756,"Shrimp, California freshwater (Syncaris pacifica)",E,"5,050","646,967,448",99.91
757,"Sculpin, pygmy (Cottus paulus (=pygmaeus))",T,"5,000","646,972,448",99.91
757,"Paintbrush, ash-grey (Castilleja cinerea)",T,"5,000","646,977,448",99.91
757,"Leather flower, Alabama (Clematis socialis)",E,"5,000","646,982,448",99.91
757,"Twinpod, Dudley Bluffs (Physaria obcordata)",T,"5,000","646,987,448",99.91
757,Catesbaea melanocarpa (=Sci name),E,"5,000","646,992,448",99.91
757,"Wooly-threads, San Joaquin (Monolopia (=Lembertia) congdonii)",E,"5,000","646,997,448",99.91
763,"Clarkia, Springville (Clarkia springvillensis)",T,"4,900","647,002,348",99.91
764,Koki`o (Kokia drynarioides),E,"4,800","647,007,148",99.91
764,"Cactus, Mesa Verde (Sclerocactus mesae-verdae)",T,"4,800","647,011,948",99.91
766,"Pigtoe, oval (Pleurobema pyriforme)",E,"4,600","647,016,548",99.91
767,"Bittercress, small-anthered (Cardamine micranthera)",E,"4,500","647,021,048",99.91
768,"Curlew, Eskimo (Numenius borealis)",E,"4,450","647,025,498",99.91
769,"Milk-vetch, coastal dunes (Astragalus tener var. titi)",E,"4,400","647,029,898",99.92
769,"Potentilla, Hickman's (Potentilla hickmanii)",E,"4,400","647,034,298",99.92
769,"Clover, Monterey (Trifolium trichocalyx)",E,"4,400","647,038,698",99.92
772,"Blazingstar, Heller's (Liatris helleri)",T,"4,220","647,042,918",99.92
773,"Lizard, Island night (Xantusia riversiana)",T,"4,200","647,047,118",99.92
773,"Isopod, Socorro (Thermosphaeroma thermophilus)",E,"4,200","647,051,318",99.92
773,Liliwai (Acaena exigua),E,"4,200","647,055,518",99.92
776,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi)",E,"4,100","647,059,618",99.92
776,"Rattleweed, hairy (Baptisia arachnifera)",E,"4,100","647,063,718",99.92
776,"Cladonia, Florida perforate (Cladonia perforata)",E,"4,100","647,067,818",99.92
779,"Snake, Atlantic salt marsh (Nerodia clarkii taeniata)",T,"4,000","647,071,818",99.92
779,Guajon (Eleutherodactylus cooki),T,"4,000","647,075,818",99.92
779,"Chub, Sonora (Gila ditaenia)",T,"4,000","647,079,818",99.92
779,Stirrupshell (Quadrula stapes),E,"4,000","647,083,818",99.92
779,"Marstonia, royal (snail) (Pyrgulopsis ogmorhaphe)",E,"4,000","647,087,818",99.92
779,"Sandwort, Bear Valley (Arenaria ursina)",T,"4,000","647,091,818",99.92
779,"Phacelia, island (Phacelia insularis ssp. insularis)",E,"4,000","647,095,818",99.93
779,"`Akoko, Ewa Plains (Chamaesyce skottsbergii var. kalaeloana)",E,"4,000","647,099,818",99.93
779,Calyptranthes thomasiana (=Sci name),E,"4,000","647,103,818",99.93
779,"Manaca, palma de (Calyptronoma rivalis)",T,"4,000","647,107,818",99.93
779,Uvillo (Eugenia haematocarpa),E,"4,000","647,111,818",99.93
779,"Higo, chumbo (Harrisia portoricensis)",T,"4,000","647,115,818",99.93
779,Erubia (Solanum drymophilum),E,"4,000","647,119,818",99.93
779,Eugenia woodburyana (=Sci name),E,"4,000","647,123,818",99.93
793,"Vetch, Hawaiian (Vicia menziesii)",E,"3,900","647,127,718",99.93
794,"Lizard, St. Croix ground (Ameiva polops)",E,"3,800","647,131,518",99.93
794,"Cactus, Nichol's Turk's head (Echinocactus horizonthalonius var. nicholii)",E,"3,800","647,135,318",99.93
796,"Bulrush, Northeastern (Scirpus ancistrochaetus)",E,"3,500","647,138,818",99.93
797,"Skink, sand (Neoseps reynoldsi)",T,"3,400","647,142,218",99.93
797,"Cactus, Peebles Navajo (Pediocactus peeblesianus peeblesianus)",E,"3,400","647,145,618",99.93
799,"Beetle, Kretschmarr Cave mold (Texamaurops reddelli)",E,"3,350","647,148,968",99.93
799,"Beetle, Tooth Cave ground (Rhadine persephone)",E,"3,350","647,152,318",99.93
801,"Milk-vetch, heliotrope (Astragalus montii)",T,"3,300","647,155,618",99.93
801,"Wild-buckwheat, clay-loving (Eriogonum pelinophilum)",E,"3,300","647,158,918",99.94
803,"Spurge, deltoid (Chamaesyce deltoidea ssp. deltoidea)",E,"3,200","647,162,118",99.94
803,Haha (Cyanea stictophylla),E,"3,200","647,165,318",99.94
803,"Milkpea, Small's (Galactia smallii)",E,"3,200","647,168,518",99.94
806,"Jaguarundi, Sinaloan (Herpailurus (=Felis) yagouaroundi tolteca)",E,"3,100","647,171,618",99.94
806,Rice rat (Oryzomys palustris natator),E,"3,100","647,174,718",99.94
806,"Skink, bluetail mole (Eumeces egregius lividus)",T,"3,100","647,177,818",99.94
806,"Owl's-clover, fleshy (Castilleja campestris ssp. succulenta)",T,"3,100","647,180,918",99.94
806,"Whitlow-wort, papery (Paronychia chartacea)",T,"3,100","647,184,018",99.94
806,"Polygala, tiny (Polygala smallii)",E,"3,100","647,187,118",99.94
812,"Hawk, Puerto Rican sharp-shinned (Accipiter striatus venator)",E,"3,000","647,190,118",99.94
812,"Salamander, desert slender (Batrachoseps aridus)",E,"3,000","647,193,118",99.94
812,"Coqui, golden (Eleutherodactylus jasperi)",T,"3,000","647,196,118",99.94
812,"Chub, Hutton tui (Gila bicolor ssp.)",T,"3,000","647,199,118",99.94
812,"Chub, Yaqui (Gila purpurea)",E,"3,000","647,202,118",99.94
812,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"3,000","647,205,118",99.94
812,"Heelsplitter, Alabama (=inflated) (Potamilus inflatus)",T,"3,000","647,208,118",99.94
812,"Snail, Chittenango ovate amber (Succinea chittenangoensis)",T,"3,000","647,211,118",99.94
812,"Snail, Stock Island tree (Orthalicus reses (not incl. nesodryas))",T,"3,000","647,214,118",99.94
812,"Beetle, Coffin Cave mold (Batrisodes texanus)",E,"3,000","647,217,118",99.94
812,"Sunburst, Hartweg's golden (Pseudobahia bahiifolia)",E,"3,000","647,220,118",99.94
812,"Wild-buckwheat, gypsum (Eriogonum gypsophilum)",T,"3,000","647,223,118",99.94
812,"Evening-primrose, Antioch Dunes (Oenothera deltoides ssp. howellii)",E,"3,000","647,226,118",99.95
812,"Wire-lettuce, Malheur (Stephanomeria malheurensis)",E,"3,000","647,229,118",99.95
812,Pelos del diablo (Aristida portoricensis),E,"3,000","647,232,118",99.95
812,Palo de ramon (Banara vanderbiltii),E,"3,000","647,235,118",99.95
812,Capa rosa (Callicarpa ampla),E,"3,000","647,238,118",99.95
812,Chamaecrista glandulosa var. mirabilis (=Sci name),E,"3,000","647,241,118",99.95
812,Cordia bellonis (=Sci name),E,"3,000","647,244,118",99.95
812,Daphnopsis hellerana (=Sci name),E,"3,000","647,247,118",99.95
812,Mitracarpus maxwelliae (=Sci name),E,"3,000","647,250,118",99.95
812,Mitracarpus polycladus (=Sci name),E,"3,000","647,253,118",99.95
812,"Peperomia, Wheeler's (Peperomia wheeleri)",E,"3,000","647,256,118",99.95
812,Chupacallos (Pleodendron macranthum),E,"3,000","647,259,118",99.95
812,Palo colorado (Ternstroemia luquillensis),E,"3,000","647,262,118",99.95
812,Ternstroemia subsessilis (=Sci name),E,"3,000","647,265,118",99.95
812,Bariaco (Trichilia triacantha),E,"3,000","647,268,118",99.95
812,"Prickly-ash, St. Thomas (Zanthoxylum thomasianum)",E,"3,000","647,271,118",99.95
812,Myrcia paganii (=Sci name),E,"3,000","647,274,118",99.95
812,Aristida chaseae (=Sci name),E,"3,000","647,277,118",99.95
812,Auerodendron pauciflorum (=Sci name),E,"3,000","647,280,118",99.95
812,Leptocereus grantianus (=Sci name),E,"3,000","647,283,118",99.95
812,Phyllostegia velutina (=Sci name),E,"3,000","647,286,118",99.95
812,"Irisette, white (Sisyrinchium dichotomum)",E,"3,000","647,289,118",99.96
812,Vernonia proctorii (=Sci name),E,"3,000","647,292,118",99.96
812,Ilex sintenisii (=Sci name),E,"3,000","647,295,118",99.96
812,"Fern, Elfin tree (Cyathea dryopteroides)",E,"3,000","647,298,118",99.96
812,Adiantum vivesii (=Sci name),E,"3,000","647,301,118",99.96
812,Elaphoglossum serpens (=Sci name),E,"3,000","647,304,118",99.96
812,Polystichum calderonense (=Sci name),E,"3,000","647,307,118",99.96
812,Tectaria estremerana (=Sci name),E,"3,000","647,310,118",99.96
812,Thelypteris inabonensis (=Sci name),E,"3,000","647,313,118",99.96
812,Thelypteris verecunda (=Sci name),E,"3,000","647,316,118",99.96
812,Thelypteris yaucoensis (=Sci name),E,"3,000","647,319,118",99.96
856,"Crownbeard, big-leaved (Verbesina dissita)",T,"2,900","647,322,018",99.96
857,"Broadbill, Guam (Myiagra freycineti)",E,"2,800","647,324,818",99.96
857,"Manzanita, Santa Rosa Island (Arctostaphylos confertiflora)",E,"2,800","647,327,618",99.96
857,Hau kuahiwi (Hibiscadelphus hualalaiensis),E,"2,800","647,330,418",99.96
857,"Barberry, Truckee (Berberis (=Mahonia) sonnei)",E,"2,800","647,333,218",99.96
861,"Pocketbook, shinyrayed (Lampsilis subangulata)",E,"2,700","647,335,918",99.96
862,"Mallard, Mariana (Anas oustaleti)",E,"2,600","647,338,518",99.96
862,"Moccasinshell, Gulf (Medionidus penicillatus)",E,"2,600","647,341,118",99.96
862,Kauai hau kuahiwi (Hibiscadelphus distans),E,"2,600","647,343,718",99.96
865,"Dwarf-flax, Marin (Hesperolinon congestum)",T,"2,500","647,346,218",99.96
865,"Button, Mohr's Barbara (Marshallia mohrii)",T,"2,500","647,348,718",99.96
865,"Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",E,"2,500","647,351,218",99.96
865,"Grass, Eureka Dune (Swallenia alexandrae)",E,"2,500","647,353,718",99.97
865,"Trillium, persistent (Trillium persistens)",E,"2,500","647,356,218",99.97
865,"Locoweed, Fassett's (Oxytropis campestris var. chartacea)",T,"2,500","647,358,718",99.97
865,"Goldenrod, Houghton's (Solidago houghtonii)",T,"2,500","647,361,218",99.97
865,"Quillwort, black spored (Isoetes melanospora)",E,"2,500","647,363,718",99.97
873,"Cactus, Arizona hedgehog (Echinocereus triglochidiatus var. arizonicus)",E,"2,400","647,366,118",99.97
873,"Ridge-cress, Barneby (Lepidium barnebyanum)",E,"2,400","647,368,518",99.97
873,"Buttercup, autumn (Ranunculus aestivalis (=acriformis))",E,"2,400","647,370,918",99.97
876,"Pseudoscorpion, Tooth Cave (Tartarocreagris texana)",E,"2,350","647,373,268",99.97
877,Hau kuahiwi (Hibiscadelphus giffardianus),E,"2,300","647,375,568",99.97
877,"Cactus, Knowlton (Pediocactus knowltonii)",E,"2,300","647,377,868",99.97
877,"Ischaemum, Hilo (Ischaemum byrone)",E,"2,300","647,380,168",99.97
880,"Spurge, Garber's (Chamaesyce garberi)",T,"2,260","647,382,428",99.97
880,"Lead-plant, Crenulate (Amorpha crenulata)",E,"2,260","647,384,688",99.97
882,Alani (Melicope zahlbruckneri),E,"2,200","647,386,888",99.97
882,Haha (Cyanea hamatiflora carlsonii),E,"2,200","647,389,088",99.97
884,"Poppy-mallow, Texas (Callirhoe scabriuscula)",E,"2,140","647,391,228",99.97
885,Heau (Exocarpos luteolus),E,"2,138","647,393,366",99.97
886,"Deer, key (Odocoileus virginianus clavium)",E,"2,100","647,395,466",99.97
886,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola)",E,"2,100","647,397,566",99.97
886,"Pawpaw, four-petal (Asimina tetramera)",E,"2,100","647,399,666",99.97
886,"Rosemary, short-leaved (Conradina brevifolia)",E,"2,100","647,401,766",99.97
886,"Blazingstar, scrub (Liatris ohlingerae)",E,"2,100","647,403,866",99.97
886,"Cactus, Key tree (Pilosocereus robinii)",E,"2,100","647,405,966",99.97
886,"Milk-vetch, Coachella Valley (Astragalus lentiginosus var. coachellae)",E,"2,100","647,408,066",99.97
886,"Fringe-tree, pygmy (Chionanthus pygmaeus)",E,"2,100","647,410,166",99.97
886,Pigeon wings (Clitoria fragrans),T,"2,100","647,412,266",99.97
886,"Gourd, Okeechobee (Cucurbita okeechobeensis ssp. okeechobeensis)",E,"2,100","647,414,366",99.97
886,Haha (Cyanea platyphylla),E,"2,100","647,416,466",99.97
886,"Pawpaw, beautiful (Deeringothamnus pulchellus)",E,"2,100","647,418,566",99.98
886,Snakeroot (Eryngium cuneifolium),E,"2,100","647,420,666",99.98
886,"Warea, wide-leaf (Warea amplexifolia)",E,"2,100","647,422,766",99.98
886,"Mustard, Carter's (Warea carteri)",E,"2,100","647,424,866",99.98
886,"Mint, Garrett's (Dicerandra christmanii)",E,"2,100","647,426,966",99.98
886,"Harebells, Avon Park (Crotalaria avonensis)",E,"2,100","647,429,066",99.98
886,Phyllostegia mannii (=Sci name),E,"2,100","647,431,166",99.98
904,"Lampmussel, Alabama (Lampsilis virescens)",E,"2,000","647,433,166",99.98
904,"Butterfly, Lange's metalmark (Apodemia mormo langei)",E,"2,000","647,435,166",99.98
904,"Beetle, delta green ground (Elaphrus viridis)",T,"2,000","647,437,166",99.98
904,"Orcutt grass, slender (Orcuttia tenuis)",T,"2,000","647,439,166",99.98
904,"Taraxacum, California (Taraxacum californicum)",E,"2,000","647,441,166",99.98
904,"Phacelia, clay (Phacelia argillacea)",E,"2,000","647,443,166",99.98
904,"Polygala, Lewton's (Polygala lewtonii)",E,"2,000","647,445,166",99.98
904,Sandlace (Polygonella myriophylla),E,"2,000","647,447,166",99.98
904,"Pondweed, Little Aguja (=Creek) (Potamogeton clystocarpus)",E,"2,000","647,449,166",99.98
904,"Gooseberry, Miccosukee (Ribes echinellum)",T,"2,000","647,451,166",99.98
904,Higuero de sierra (Crescentia portoricensis),E,"2,000","647,453,166",99.98
904,"Cat's-eye, Terlingua Creek (Cryptantha crassipes)",E,"2,000","647,455,166",99.98
904,"Holly, Cook's (Ilex cookii)",E,"2,000","647,457,166",99.98
904,Lepanthes eltoroensis (=Sci name),E,"2,000","647,459,166",99.98
904,"Mustard, slender-petaled (Thelypodium stenopetalum)",E,"2,000","647,461,166",99.98
904,Gesneria pauciflora (=Sci name),T,"2,000","647,463,166",99.98
904,Cranichis ricartii (=Sci name),E,"2,000","647,465,166",99.98
921,"Primrose, Maguire (Primula maguirei)",T,"1,800","647,466,966",99.98
922,"Thistle, La Graciosa (Cirsium loncholepis)",E,"1,600","647,468,566",99.98
922,"Rush-rose, island (Helianthemum greenei)",T,"1,600","647,470,166",99.98
922,Aupaka (Isodendrion laurifolium),E,"1,600","647,471,766",99.98
922,"Cory cactus, bunched (Coryphantha ramillosa)",T,"1,600","647,473,366",99.98
922,"Cactus, Lloyd's Mariposa (Echinomastus mariposensis)",T,"1,600","647,474,966",99.98
922,Alani (Melicope balloui),E,"1,600","647,476,566",99.98
928,"Spineflower, Orcutt's (Chorizanthe orcuttiana)",E,"1,500","647,478,066",99.98
928,"Desert-parsley, Bradshaw's (Lomatium bradshawii)",E,"1,500","647,479,566",99.98
928,"Quillwort, mat-forming (Isoetes tegetiformans)",E,"1,500","647,481,066",99.98
931,"Groundsel, San Francisco Peaks (Senecio franciscanus)",T,"1,400","647,482,466",99.98
931,"Agave, Arizona (Agave arizonica)",E,"1,400","647,483,866",99.99
