Rank,Species (50 CFR Part 17),Status,"Species Total($)","CumulativeTotal ($)","CumulativePercent"
610,"Pearlymussel, dromedary (Dromus dromas)",E,"12,800","717,281,437",99.73
611,"Orcutt grass, slender (Orcuttia tenuis)",T,"12,755","717,294,192",99.73
612,"Jaguarundi, Sinaloan (Herpailurus (=Felis) yagouaroundi tolteca)",E,"12,500","717,306,692",99.73
612,"Blossom, green (pearlymussel) (Epioblasma torulosa gubernaculum)",E,"12,500","717,319,192",99.74
612,"Tiger beetle, Puritan (Cicindela puritana)",T,"12,500","717,331,692",99.74
612,"Rush-pea, slender (Hoffmannseggia tenella)",E,"12,500","717,344,192",99.74
612,"Quillwort, Louisiana (Isoetes louisianensis)",E,"12,500","717,356,692",99.74
617,"Iris, dwarf lake (Iris lacustris)",T,"12,000","717,368,692",99.74
618,"Desert-parsley, Bradshaw's (Lomatium bradshawii)",E,"11,800","717,380,492",99.74
619,"Pupfish, Owens (Cyprinodon radiosus)",E,"11,700","717,392,192",99.75
619,"Milkweed, Welsh's (Asclepias welshii)",T,"11,700","717,403,892",99.75
621,Nioi (Eugenia koolauensis),E,"11,600","717,415,492",99.75
622,`O`u (honeycreeper) (Psittirostra psittacea),E,"11,500","717,426,992",99.75
622,"Creeper, Oahu (Paroreomyza maculata)",E,"11,500","717,438,492",99.75
622,"Spinedace, Big Spring (Lepidomeda mollispinis pratensis)",T,"11,500","717,449,992",99.75
622,"Beetle, Hungerford's crawling water (Brychius hungerfordi)",E,"11,500","717,461,492",99.76
626,"Riversnail, Anthony's (Athearnia anthonyi)",E,"11,400","717,472,892",99.76
626,Wawae`iole (Lycopodium (=Phlegmariurus) nutans),E,"11,400","717,484,292",99.76
628,"Heartleaf, dwarf-flowered (Hexastylis naniflora)",T,"11,280","717,495,572",99.76
629,"Darter, bayou (Etheostoma rubrum)",T,"11,267","717,506,839",99.76
630,"Amphianthus, little (Amphianthus pusillus)",T,"11,200","717,518,039",99.76
630,Kiponapona (Phyllostegia racemosa),E,"11,200","717,529,239",99.77
630,Nanu (Gardenia mannii),E,"11,200","717,540,439",99.77
633,"Reed-mustard, Barneby (Schoenocrambe barnebyi)",E,"11,100","717,551,539",99.77
634,"Cavefish, Alabama (Speoplatyrhinus poulsoni)",E,"11,000","717,562,539",99.77
635,"Grass, Eureka Dune (Swallenia alexandrae)",E,"10,915","717,573,454",99.77
636,"Larkspur, Baker's (Delphinium bakeri)",E,"10,800","717,584,254",99.77
637,"Poolfish, Pahrump (Empetrichthys latos)",E,"10,700","717,594,954",99.77
637,"Skipper, Pawnee montane (Hesperia leonardus montana)",T,"10,700","717,605,654",99.78
639,"Moorhen, Mariana common (Gallinula chloropus guami)",E,"10,600","717,616,254",99.78
639,"Goldenrod, white-haired (Solidago albopilosa)",T,"10,600","717,626,854",99.78
641,"Bird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)",E,"10,500","717,637,354",99.78
641,"Trillium, relict (Trillium reliquum)",E,"10,500","717,647,854",99.78
643,Sanicula purpurea (=Sci name),E,"10,400","717,658,254",99.78
643,"Bladderpod, Dudley Bluffs (Lesquerella congesta)",T,"10,400","717,668,654",99.78
645,Alani (Melicope adscendens),E,"10,280","717,678,934",99.79
646,"Beetle, Helotes mold (Batrisodes venyivi)",E,"10,140","717,689,074",99.79
646,"Spider, Government Canyon Bat Cave (Neoleptoneta microps)",E,"10,140","717,699,214",99.79
646,"Meshweaver, Robber Baron Cave (Cicurina baronia)",E,"10,140","717,709,354",99.79
649,"Blazingstar, scrub (Liatris ohlingerae)",E,"10,100","717,719,454",99.79
649,"Gourd, Okeechobee (Cucurbita okeechobeensis ssp.okeechobeensis)",E,"10,100","717,729,554",99.79
649,"Lupine, scrub (Lupinus aridorum)",E,"10,100","717,739,654",99.79
649,"Torreya, Florida (Torreya taxifolia)",E,"10,100","717,749,754",99.8
653,Alani (Melicope knudsenii),E,"10,080","717,759,834",99.8
653,"Sandalwood, Lanai (=`iliahi) (Santalum freycinetianum var.lanaiense)",E,"10,080","717,769,914",99.8
655,"Marstonia, royal (snail) (Pyrgulopsis ogmorhaphe)",E,"10,000","717,779,914",99.8
655,"Crayfish, Nashville (Orconectes shoupi)",E,"10,000","717,789,914",99.8
655,"Milk-vetch, Fish Slough (Astragalus lentiginosus var. piscinensis)",T,"10,000","717,799,914",99.8
658,"Snail, painted snake coiled forest (Anguispira picta)",T,"9,900","717,809,814",99.8
659,"Larkspur, yellow (Delphinium luteum)",E,"9,800","717,819,614",99.81
659,"Twinpod, Dudley Bluffs (Physaria obcordata)",T,"9,800","717,829,414",99.81
661,"Avens, spreading (Geum radiatum)",E,"9,700","717,839,114",99.81
662,"Cactus, Siler pincushion (Pediocactus (=Echinocactus,=Utahia)sileri)",T,"9,600","717,848,714",99.81
663,"Cactus, Kuenzler hedgehog (Echinocereus fendleri var. kuenzleri)",E,"9,550","717,858,264",99.81
664,"Pentachaeta, Lyon's (Pentachaeta lyonii)",E,"9,500","717,867,764",99.81
664,Lo`ulu (Pritchardia schattaueri),E,"9,500","717,877,264",99.81
666,"Harvestman, Bone Cave (Texella reyesi)",E,"9,400","717,886,664",99.81
667,`Oha wai (Clermontia lindseyana),E,"9,150","717,895,814",99.82
667,Haha (Cyanea shipmannii),E,"9,150","717,904,964",99.82
669,"Milk-vetch, Jesup's (Astragalus robbinsii var. jesupi)",E,"9,100","717,914,064",99.82
669,Alani (Melicope ovalis),E,"9,100","717,923,164",99.82
669,"Onion, Munz's (Allium munzii)",E,"9,100","717,932,264",99.82
669,"Cladonia, Florida perforate (Cladonia perforata)",E,"9,100","717,941,364",99.82
673,"Salamander, Cheat Mountain (Plethodon nettingi)",T,"9,000","717,950,364",99.82
673,"Heather, mountain golden (Hudsonia montana)",T,"9,000","717,959,364",99.83
675,Alsinidendron trinerve (=Sci name),E,"8,884","717,968,248",99.83
676,Nohoanu (Geranium multiflorum),E,"8,800","717,977,048",99.83
677,"Cliff-rose, Arizona (Purshia (=Cowania) subintegra)",E,"8,700","717,985,748",99.83
678,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi)",E,"8,500","717,994,248",99.83
678,"Sculpin, pygmy (Cottus paulus (=pygmaeus))",T,"8,500","718,002,748",99.83
678,"Snail, flat-spired three-toothed (Triodopsis platysayoides)",T,"8,500","718,011,248",99.83
678,"Spineflower, Howell's (Chorizanthe howellii)",E,"8,500","718,019,748",99.83
682,"Whale, blue (Balaenoptera musculus)",E,"8,454","718,028,202",99.83
683,"Turtle, ringed map (Graptemys oculifera)",T,"8,425","718,036,627",99.84
684,"Manioc, Walker's (Manihot walkerae)",E,"8,400","718,045,027",99.84
685,Lobelia gaudichaudii ssp. koolauensis (=Sci name),E,"8,384","718,053,411",99.84
685,Ha`iwale (Cyrtandra subumbellata),E,"8,384","718,061,795",99.84
685,Kamakahala (Labordia cyrtandrae),E,"8,384","718,070,179",99.84
688,"Catfish, Yaqui (Ictalurus pricei)",T,"8,260","718,078,439",99.84
689,"Groundsel, San Francisco Peaks (Senecio franciscanus)",T,"8,238","718,086,677",99.84
690,Schiedea haleakalensis (=Sci name),E,"8,100","718,094,777",99.84
691,Phyllostegia mollis (=Sci name),E,"8,084","718,102,861",99.84
692,"Boa, Mona (Epicrates monensis monensis)",T,"8,000","718,110,861",99.85
692,"Paintbrush, soft-leaved (Castilleja mollis)",E,"8,000","718,118,861",99.85
692,"Manzanita, Presidio (Arctostaphylos hookeri var. ravenii)",E,"8,000","718,126,861",99.85
692,"Roseroot, Leedy's (Sedum integrifolium ssp. leedyi)",T,"8,000","718,134,861",99.85
696,"Pearlymussel, cracking (Hemistena lata)",E,"7,966","718,142,827",99.85
697,"Pigtoe, finerayed (Fusconaia cuneolus)",E,"7,700","718,150,527",99.85
698,"Woolly-star, Hoover's (Eriastrum hooveri)",T,"7,560","718,158,087",99.85
699,"Whale, bowhead (Balaena mysticetus)",E,"7,454","718,165,541",99.85
700,"Lampmussel, Alabama (Lampsilis virescens)",E,"7,400","718,172,941",99.85
700,"Naucorid, Ash Meadows (Ambrysus amargosus)",T,"7,400","718,180,341",99.86
700,"Thornmint, San Diego (Acanthomintha ilicifolia)",T,"7,400","718,187,741",99.86
700,"Naupaka, dwarf (Scaevola coriacea)",E,"7,400","718,195,141",99.86
700,"Wild-buckwheat, clay-loving (Eriogonum pelinophilum)",E,"7,400","718,202,541",99.86
705,"Milk-vetch, Applegate's (Astragalus applegatei)",E,"7,300","718,209,841",99.86
706,"Pigtoe, shiny (Fusconaia cor)",E,"7,225","718,217,066",99.86
707,"Manzanita, Ione (Arctostaphylos myrtifolia)",T,"7,200","718,224,266",99.86
708,Rice rat (Oryzomys palustris natator),E,"7,100","718,231,366",99.86
708,"Hypericum, highlands scrub (Hypericum cumulicola)",E,"7,100","718,238,466",99.86
708,"Orcutt grass, California (Orcuttia californica)",E,"7,100","718,245,566",99.86
708,"Butterwort, Godfrey's (Pinguicula ionantha)",T,"7,100","718,252,666",99.87
712,"Iagu, Hayun (=(Guam), Tronkon guafi (Rota)) (Serianthes nelsonii)",E,"7,000","718,259,666",99.87
713,"Milk-vetch, Braunton's (Astragalus brauntonii)",E,"6,900","718,266,566",99.87
713,"Mallow, Peter's Mountain (Iliamna corei)",E,"6,900","718,273,466",99.87
715,"Monkeyface, Appalachian (pearlymussel) (Quadrula sparsa)",E,"6,800","718,280,266",99.87
715,"Cactus, Mesa Verde (Sclerocactus mesae-verdae)",T,"6,800","718,287,066",99.87
715,"Daisy, lakeside (Hymenoxys herbacea)",T,"6,800","718,293,866",99.87
718,"Beetle, Tooth Cave ground (Rhadine persephone)",E,"6,350","718,300,216",99.87
719,"Turtle, yellow-blotched map (Graptemys flavimaculata)",T,"6,300","718,306,516",99.87
719,Ma`oli`oli (Schiedea kealiae),E,"6,300","718,312,816",99.87
719,`Oha wai (Clermontia pyrularia),E,"6,300","718,319,116",99.88
719,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"6,300","718,325,416",99.88
723,"Tiger beetle, Ohlone (Cicindela ohlone)",E,"6,200","718,331,616",99.88
723,"Owl's-clover, fleshy (Castilleja campestris ssp. succulenta)",T,"6,200","718,337,816",99.88
723,Aupaka (Isodendrion longifolium),T,"6,200","718,344,016",99.88
723,Lobelia oahuensis (=Sci name),E,"6,200","718,350,216",99.88
723,Alani (Melicope lydgatei),E,"6,200","718,356,416",99.88
723,"Orcutt grass, San Joaquin (Orcuttia inaequalis)",T,"6,200","718,362,616",99.88
723,"Panicgrass, Carter's (Panicum fauriei var. carteri)",E,"6,200","718,368,816",99.88
730,"Bat, little Mariana fruit (Pteropus tokudae)",E,"6,100","718,374,916",99.88
730,"Orcutt grass, hairy (Orcuttia pilosa)",E,"6,100","718,381,016",99.88
732,Guajon (Eleutherodactylus cooki),T,"6,000","718,387,016",99.88
732,"Slabshell, Chipola (Elliptio chipolaensis)",T,"6,000","718,393,016",99.89
732,"Spider, spruce-fir moss (Microhexura montivaga)",E,"6,000","718,399,016",99.89
732,"Barberry, Nevin's (Berberis nevinii)",E,"6,000","718,405,016",99.89
732,"Sunflower, Pecos (=puzzle, =paradox) (Helianthus paradoxus)",T,"6,000","718,411,016",99.89
732,"Vetch, Hawaiian (Vicia menziesii)",E,"6,000","718,417,016",99.89
732,"Ischaemum, Hilo (Ischaemum byrone)",E,"6,000","718,423,016",99.89
732,"Locoweed, Fassett's (Oxytropis campestris var. chartacea)",T,"6,000","718,429,016",99.89
732,Cobana negra (Stahlia monosperma),T,"6,000","718,435,016",99.89
732,"Ayenia, Texas (Ayenia limitaris)",E,"6,000","718,441,016",99.89
732,"Crownscale, San Jacinto Valley (Atriplex coronata var. notatior)",E,"6,000","718,447,016",99.89
732,"Sedge, golden (Carex lutea)",E,"6,000","718,453,016",99.89
744,Cyanea (=Rollandia) crispa (=Sci name),E,"5,900","718,458,916",99.89
745,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar)",E,"5,876","718,464,792",99.9
746,Hau kuahiwi (Hibiscadelphus hualalaiensis),E,"5,800","718,470,592",99.9
747,"Lizard, Island night (Xantusia riversiana)",T,"5,760","718,476,352",99.9
748,"Rabbitsfoot, rough (Quadrula cylindrica strigillata)",E,"5,700","718,482,052",99.9
749,"Silverside, Waccamaw (Menidia extensa)",T,"5,500","718,487,552",99.9
749,"Dudleya, Conejo (Dudleya abramsii ssp. parva)",T,"5,500","718,493,052",99.9
749,"Spineflower, Sonoma (Chorizanthe valida)",E,"5,500","718,498,552",99.9
749,Makou (Peucedanum sandwicense),T,"5,500","718,504,052",99.9
753,Haha (Cyanea humboldtiana),E,"5,400","718,509,452",99.9
753,Haha (Cyanea st-johnii),E,"5,400","718,514,852",99.9
753,Viola oahuensis (=Sci name),E,"5,400","718,520,252",99.9
753,"Dropwort, Canby's (Oxypolis canbyi)",E,"5,400","718,525,652",99.9
753,Ha`iwale (Cyrtandra viridiflora),E,"5,400","718,531,052",99.9
753,Kolea (Myrsine juddii),E,"5,400","718,536,452",99.91
753,`Akoko (Chamaesyce rockii),E,"5,400","718,541,852",99.91
760,"Cycladenia, Jones (Cycladenia jonesii (=humilis))",T,"5,300","718,547,152",99.91
761,"Spurge, Hoover's (Chamaesyce hooveri)",T,"5,200","718,552,352",99.91
762,"Vole, Florida salt marsh (Microtus pennsylvanicus dukecampbelli)",E,"5,100","718,557,452",99.91
762,"Grass, Colusa (Neostapfia colusana)",T,"5,100","718,562,552",99.91
762,Pua `ala (Brighamia rockii),E,"5,100","718,567,652",99.91
762,"Orcutt grass, Sacramento (Orcuttia viscida)",E,"5,100","718,572,752",99.91
762,"Cactus, Key tree (Pilosocereus robinii)",E,"5,100","718,577,852",99.91
762,"Tuctoria, Greene's (Tuctoria greenei)",E,"5,100","718,582,952",99.91
762,"Grass, Solano (Tuctoria mucronata)",E,"5,100","718,588,052",99.91
762,Opuhe (Urera kaalae),E,"5,100","718,593,152",99.91
762,"Bonamia, Florida (Bonamia grandiflora)",T,"5,100","718,598,252",99.91
762,"Skullcap, Florida (Scutellaria floridana)",T,"5,100","718,603,352",99.91
762,"Meadowfoam, Butte County (Limnanthes floccosa ssp. californica)",E,"5,100","718,608,452",99.92
773,"Salamander, desert slender (Batrachoseps aridus)",E,"5,000","718,613,452",99.92
773,"Liveforever, Laguna Beach (Dudleya stolonifera)",T,"5,000","718,618,452",99.92
773,"Clarkia, Presidio (Clarkia franciscana)",E,"5,000","718,623,452",99.92
773,"Gumplant, Ash Meadows (Grindelia fraxino-pratensis)",T,"5,000","718,628,452",99.92
773,"Niterwort, Amargosa (Nitrophila mohavensis)",E,"5,000","718,633,452",99.92
773,Ohai (Sesbania tomentosa),E,"5,000","718,638,452",99.92
773,"Walnut, West Indian or nogal (Juglans jamaicensis)",E,"5,000","718,643,452",99.92
780,"Monkey-flower, Michigan (Mimulus glabratus var. michiganensis)",E,"4,750","718,648,202",99.92
781,"Dogweed, ashy (Thymophylla tephroleuca)",E,"4,600","718,652,802",99.92
781,"Aster, Florida golden (Chrysopsis floridana)",E,"4,600","718,657,402",99.92
783,"Yerba santa, Lompoc (Eriodictyon capitatum)",E,"4,500","718,661,902",99.92
783,"Arrowhead, bunched (Sagittaria fasciculata)",E,"4,500","718,666,402",99.92
783,Catesbaea melanocarpa (=Sci name),E,"4,500","718,670,902",99.92
783,Awiwi (Centaurium sebaeoides),E,"4,500","718,675,402",99.92
787,"Darter, slackwater (Etheostoma boschungi)",T,"4,425","718,679,827",99.93
787,"Rock-cress, Braun's (Arabis perstellata)",E,"4,425","718,684,252",99.93
789,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"4,400","718,688,652",99.93
789,"Milk-vetch, Mancos (Astragalus humillimus)",E,"4,400","718,693,052",99.93
789,"Milk-vetch, Osterhout (Astragalus osterhoutii)",E,"4,400","718,697,452",99.93
792,"Phacelia, North Park (Phacelia formosula)",E,"4,300","718,701,752",99.93
793,"Pseudoscorpion, Tooth Cave (Tartarocreagris texana)",E,"4,200","718,705,952",99.93
793,"Bulrush, Northeastern (Scirpus ancistrochaetus)",E,"4,200","718,710,152",99.93
793,Kuahiwi laukahi (Plantago hawaiensis),E,"4,200","718,714,352",99.93
796,"Blossom, tubercled (pearlymussel) (Epioblasma torulosa torulosa)",E,"4,166","718,718,518",99.93
797,"Pigtoe, flat (Pleurobema marshalli)",E,"4,100","718,722,618",99.93
797,"Gooseberry, Miccosukee (Ribes echinellum)",T,"4,100","718,726,718",99.93
797,"Chaff-flower, round-leaved (Achyranthes splendens var. rotundata)",E,"4,100","718,730,818",99.93
797,"Spurge, telephus (Euphorbia telephioides)",T,"4,100","718,734,918",99.93
797,Haha (Cyanea hamatiflora carlsonii),E,"4,100","718,739,018",99.93
797,"Rosemary, Etonia (Conradina etonia)",E,"4,100","718,743,118",99.93
803,"Grass, Tennessee yellow-eyed (Xyris tennesseensis)",E,"4,050","718,747,168",99.93
804,"Hawk, Puerto Rican sharp-shinned (Accipiter striatus venator)",E,"4,000","718,751,168",99.94
804,"Dace, Foskett speckled (Rhinichthys osculus ssp.)",T,"4,000","718,755,168",99.94
804,"Pigtoe, Cumberland (Pleurobema gibberum)",E,"4,000","718,759,168",99.94
804,"Isopod, Socorro (Thermosphaeroma thermophilus)",E,"4,000","718,763,168",99.94
804,"Phacelia, island (Phacelia insularis ssp. insularis)",E,"4,000","718,767,168",99.94
804,"Cactus, Nichol's Turk's head (Echinocactus horizonthalonius var.nicholii)",E,"4,000","718,771,168",99.94
804,Calyptranthes thomasiana (=Sci name),E,"4,000","718,775,168",99.94
804,Uvillo (Eugenia haematocarpa),E,"4,000","718,779,168",99.94
804,"Goetzea, beautiful (Goetzea elegans)",E,"4,000","718,783,168",99.94
804,"Higo, chumbo (Harrisia portoricensis)",T,"4,000","718,787,168",99.94
804,"Prickly-ash, St. Thomas (Zanthoxylum thomasianum)",E,"4,000","718,791,168",99.94
815,"Spider, Tooth Cave (Neoleptoneta myopica)",E,"3,900","718,795,068",99.94
815,"Pawpaw, four-petal (Asimina tetramera)",E,"3,900","718,798,968",99.94
815,"Bladderpod, kodachrome (Lesquerella tumulosa)",E,"3,900","718,802,868",99.94
818,"Mustard, Penland alpine fen (Eutrema penlandii)",T,"3,800","718,806,668",99.94
818,Alani (Melicope zahlbruckneri),E,"3,800","718,810,468",99.94
818,`Oha wai (Clermontia oblongifolia ssp. mauiensis),E,"3,800","718,814,268",99.94
821,"Gardenia (=Na`u), Hawaiian (Gardenia brighamii)",E,"3,500","718,817,768",99.94
822,"Lizard, St. Croix ground (Ameiva polops)",E,"3,400","718,821,168",99.94
822,"Beetle, Kretschmarr Cave mold (Texamaurops reddelli)",E,"3,400","718,824,568",99.95
822,"Harvestman, Bee Creek Cave (Texella reddelli)",E,"3,400","718,827,968",99.95
822,"Cactus, Knowlton (Pediocactus knowltonii)",E,"3,400","718,831,368",99.95
826,"Lilliput, pale (pearlymussel) (Toxolasma cylindrellus)",E,"3,325","718,834,693",99.95
827,"Mountain balm, Indian Knob (Eriodictyon altissimum)",E,"3,300","718,837,993",99.95
827,"Pitcher-plant, mountain sweet (Sarracenia rubra ssp. jonesii)",E,"3,300","718,841,293",99.95
829,"Mouse, Anastasia Island beach (Peromyscus polionotus phasma)",E,"3,250","718,844,543",99.95
830,"Springfish, Hiko White River (Crenichthys baileyi grandis)",E,"3,200","718,847,743",99.95
830,"Bladderpod, Spring Creek (Lesquerella perforata)",E,"3,200","718,850,943",99.95
830,"Fleabane, Zuni (Erigeron rhizomatus)",T,"3,200","718,854,143",99.95
830,Tetramolopium rockii (=Sci name),T,"3,200","718,857,343",99.95
830,"Manzanita, Morro (Arctostaphylos morroensis)",T,"3,200","718,860,543",99.95
835,Haha (Cyanea stictophylla),E,"3,150","718,863,693",99.95
835,Phyllostegia velutina (=Sci name),E,"3,150","718,866,843",99.95
837,"Poppy-mallow, Texas (Callirhoe scabriuscula)",E,"3,140","718,869,983",99.95
838,"Combshell, southern (Epioblasma penita)",E,"3,100","718,873,083",99.95
838,Stirrupshell (Quadrula stapes),E,"3,100","718,876,183",99.95
838,"Poppy, Sacramento prickly (Argemone pleiacantha ssp.pinnatisecta)",E,"3,100","718,879,283",99.95
838,"Rhododendron, Chapman (Rhododendron chapmanii)",E,"3,100","718,882,383",99.95
838,"Meadowrue, Cooley's (Thalictrum cooleyi)",E,"3,100","718,885,483",99.95
843,"Coqui, golden (Eleutherodactylus jasperi)",T,"3,000","718,888,483",99.95
843,"Clubshell, black (Pleurobema curtum)",E,"3,000","718,891,483",99.95
843,"Snail, Chittenango ovate amber (Succinea chittenangoensis)",T,"3,000","718,894,483",99.96
843,"Sunburst, Hartweg's golden (Pseudobahia bahiifolia)",E,"3,000","718,897,483",99.96
843,"Sunburst, San Joaquin adobe (Pseudobahia peirsonii)",T,"3,000","718,900,483",99.96
843,"Wire-lettuce, Malheur (Stephanomeria malheurensis)",E,"3,000","718,903,483",99.96
843,"Sandwort, Cumberland (Arenaria cumberlandensis)",E,"3,000","718,906,483",99.96
843,Pelos del diablo (Aristida portoricensis),E,"3,000","718,909,483",99.96
843,Palo de ramon (Banara vanderbiltii),E,"3,000","718,912,483",99.96
843,Chamaecrista glandulosa var. mirabilis (=Sci name),E,"3,000","718,915,483",99.96
843,Cordia bellonis (=Sci name),E,"3,000","718,918,483",99.96
843,Palo de nigua (Cornutia obovata),E,"3,000","718,921,483",99.96
843,Erubia (Solanum drymophilum),E,"3,000","718,924,483",99.96
843,Bariaco (Trichilia triacantha),E,"3,000","718,927,483",99.96
843,Aristida chaseae (=Sci name),E,"3,000","718,930,483",99.96
858,"Crownbeard, big-leaved (Verbesina dissita)",T,"2,900","718,933,383",99.96
859,"Manzanita, Santa Rosa Island (Arctostaphylos confertiflora)",E,"2,800","718,936,183",99.96
859,"Sandwort, Marsh (Arenaria paludicola)",E,"2,800","718,938,983",99.96
861,"Skink, bluetail mole (Eumeces egregius lividus)",T,"2,600","718,941,583",99.96
861,"Skink, sand (Neoseps reynoldsi)",T,"2,600","718,944,183",99.96
863,"Thistle, La Graciosa (Cirsium loncholepis)",E,"2,500","718,946,683",99.96
863,"Thistle, Chorro Creek bog (Cirsium fontinale var. obispoense)",E,"2,500","718,949,183",99.96
863,Gouania vitifolia (=Sci name),E,"2,500","718,951,683",99.96
863,"Button, Mohr's Barbara (Marshallia mohrii)",T,"2,500","718,954,183",99.96
863,Capa rosa (Callicarpa ampla),E,"2,500","718,956,683",99.96
863,Mitracarpus maxwelliae (=Sci name),E,"2,500","718,959,183",99.96
863,Mitracarpus polycladus (=Sci name),E,"2,500","718,961,683",99.96
863,Chupacallos (Pleodendron macranthum),E,"2,500","718,964,183",99.96
863,Schoepfia arenaria (=Sci name),T,"2,500","718,966,683",99.97
863,Leptocereus grantianus (=Sci name),E,"2,500","718,969,183",99.97
863,Vernonia proctorii (=Sci name),E,"2,500","718,971,683",99.97
863,"Diellia, asplenium-leaved (Diellia erecta)",E,"2,500","718,974,183",99.97
863,Polystichum calderonense (=Sci name),E,"2,500","718,976,683",99.97
876,"Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",E,"2,315","718,978,998",99.97
877,"Warbler (=wood), Bachman's (Vermivora bachmanii)",E,"2,300","718,981,298",99.97
877,Hau kuahiwi (Hibiscadelphus giffardianus),E,"2,300","718,983,598",99.97
879,"Birch, Virginia round-leaf (Betula uber)",T,"2,205","718,985,803",99.97
880,"Phacelia, clay (Phacelia argillacea)",E,"2,200","718,988,003",99.97
880,"Buttercup, autumn (Ranunculus aestivalis (=acriformis))",E,"2,200","718,990,203",99.97
880,"Campion, fringed (Silene polypetala)",E,"2,200","718,992,403",99.97
880,Haha (Cyanea platyphylla),E,"2,200","718,994,603",99.97
884,"Curlew, Eskimo (Numenius borealis)",E,"2,100","718,996,703",99.97
884,"Pearlymussel, Curtis (Epioblasma florentina curtisii)",E,"2,100","718,998,803",99.97
884,`Awikiwiki (Canavalia molokaiensis),E,"2,100","719,000,903",99.97
884,"Pondweed, Little Aguja (=Creek) (Potamogeton clystocarpus)",E,"2,100","719,003,003",99.97
884,"Pinkroot, gentian (Spigelia gentianoides)",E,"2,100","719,005,103",99.97
884,"Pitcher-plant, Alabama canebrake (Sarracenia rubra alabamensis)",E,"2,100","719,007,203",99.97
884,"Mustard, Carter's (Warea carteri)",E,"2,100","719,009,303",99.97
891,Cahow (Pterodroma cahow),E,"2,000","719,011,303",99.97
891,"Snake, Atlantic salt marsh (Nerodia clarkii taeniata)",T,"2,000","719,013,303",99.97
891,"Darter, vermilion (Etheostoma chermocki)",E,"2,000","719,015,303",99.97
891,"Butterfly, Lange's metalmark (Apodemia mormo langei)",E,"2,000","719,017,303",99.97
891,"Beetle, delta green ground (Elaphrus viridis)",T,"2,000","719,019,303",99.97
891,"Beetle, Coffin Cave mold (Batrisodes texanus)",E,"2,000","719,021,303",99.97
891,Aupaka (Isodendrion laurifolium),E,"2,000","719,023,303",99.97
891,"Bird's beak, palmate-bracted (Cordylanthus palmatus)",E,"2,000","719,025,303",99.97
891,"Evening-primrose, Antioch Dunes (Oenothera deltoides ssp.howellii)",E,"2,000","719,027,303",99.97
891,"Boxwood, Vahl's (Buxus vahlii)",E,"2,000","719,029,303",99.97
891,"Manaca, palma de (Calyptronoma rivalis)",T,"2,000","719,031,303",99.97
891,Daphnopsis hellerana (=Sci name),E,"2,000","719,033,303",99.97
891,Palo de rosa (Ottoschulzia rhodoxylon),E,"2,000","719,035,303",99.97
891,Palo colorado (Ternstroemia luquillensis),E,"2,000","719,037,303",99.97
891,Ternstroemia subsessilis (=Sci name),E,"2,000","719,039,303",99.98
891,"Watercress, Gambel's (Rorippa gambellii)",E,"2,000","719,041,303",99.98
891,Ilex sintenisii (=Sci name),E,"2,000","719,043,303",99.98
891,Eugenia woodburyana (=Sci name),E,"2,000","719,045,303",99.98
891,"Ladies'-tresses, Canelo Hills (Spiranthes delitescens)",E,"2,000","719,047,303",99.98
891,"Fern, Elfin tree (Cyathea dryopteroides)",E,"2,000","719,049,303",99.98
891,Elaphoglossum serpens (=Sci name),E,"2,000","719,051,303",99.98
891,Tectaria estremerana (=Sci name),E,"2,000","719,053,303",99.98
891,Thelypteris inabonensis (=Sci name),E,"2,000","719,055,303",99.98
891,Thelypteris yaucoensis (=Sci name),E,"2,000","719,057,303",99.98
915,"Cactus, Tobusch fishhook (Ancistrocactus tobuschii)",E,"1,960","719,059,263",99.98
916,Nehe (Lipochaeta lobata var. leptophylla),E,"1,940","719,061,203",99.98
917,"Ridge-cress, Barneby (Lepidium barnebyanum)",E,"1,900","719,063,103",99.98
917,"Cactus, Brady pincushion (Pediocactus bradyi)",E,"1,900","719,065,003",99.98
917,"Milk-vetch, heliotrope (Astragalus montii)",T,"1,900","719,066,903",99.98
920,"Primrose, Maguire (Primula maguirei)",T,"1,800","719,068,703",99.98
921,"Mallard, Mariana (Anas oustaleti)",E,"1,700","719,070,403",99.98
921,"Broadbill, Guam (Myiagra freycineti)",E,"1,700","719,072,103",99.98
921,Nehe (Lipochaeta fauriei),E,"1,700","719,073,803",99.98
921,"Rock-cress, shale barren (Arabis serotina)",E,"1,700","719,075,503",99.98
925,"Rush-rose, island (Helianthemum greenei)",T,"1,600","719,077,103",99.98
925,Phyllostegia parviflora (=Sci name),E,"1,600","719,078,703",99.98
925,"Cory cactus, bunched (Coryphantha ramillosa)",T,"1,600","719,080,303",99.98
925,"Cactus, Lloyd's Mariposa (Echinomastus mariposensis)",T,"1,600","719,081,903",99.98
925,"Checker-mallow, Nelson's (Sidalcea nelsoniana)",T,"1,600","719,083,503",99.98
930,"Chub, slender (Erimystax cahni)",T,"1,500","719,085,003",99.98
930,"Chub, Chihuahua (Gila nigrescens)",T,"1,500","719,086,503",99.98
